College,City,State,Type,Course,EE,Fees,Rank,Cut-off,Hostel,Placement,Package,Cost_Efficiency_Score
Armed Forces Medical College,Pune,Maharashtra,0,"BPMT, M.Sc, MBBS, MD, MHA","Afmcent, Merit, Mh Bsc Nursing Cet, Neet-Pg, Neet-Ug",0,30,98,0,88,6.5,inf
B.J. Government Medical College,Pune,Maharashtra,0,"BOT, BPT, M.Sc, MBBS, MD, MS","Merit, Mht-Cet, Neet-Pg, Neet-Ug",78000,82,80,0,95,7.5,512.8205128
College of Engineering Pune (COEP),Pune,Maharashtra,0,"B.Tech, M.E, M.Tech, MCA","Gate, Jee Main, Mah-Mca-Cet, Mht-Cet",78000,77,80,0,74.88,11.35,1455.128205
Dr. Babasaheb Ambedkar Marathwada University,Aurangabad,Maharashtra,0,"B.A, B.Arch, B.Com, B.E, B.Ed, B.Pharm, B.Sc, B.Tech, BBA, BCA, LL.B, LL.M, M.A, M.Com, M.Ed, M.Pharm, M.Sc, M.Tech, MBA, MCA","Cat, Gate, Jee Main, Mah-B.Ed-Cet, Mah-Cet, Mah-M.Ed-Cet, Mah-Mca-Cet, Merit, Mh Cet Law, Mht-Cet",78000,127,50,1,70,4,192.3076923
Dr. Babasaheb Ambedkar Technological University,Lonere,Maharashtra,0,"B.A, B.Arch, B.Com, B.E, B.Pharm, B.Sc, B.Tech, BBA, M.A, M.Arch, M.Com, M.E, M.Pharm, M.Sc, M.Tech, MBA, MCA","Gate, Gpat, Jee Main, Mah-M.Arch-Cet, Mah-Mba-Cet, Mah-Mca-Cet, Merit, Mht-Cet, Nata, Neet",57045.45,163,82,1,90,3.8,818.1818182
Gondwana University,Gadchiroli,Maharashtra,0,"B.A, B.Arch, B.Com, B.E, B.Ed, B.Pharm, B.Sc, B.Tech, BBA, BCA, LL.B, LL.M, M.A, M.Com, M.Ed, M.Pharm, M.Sc, M.Tech, MBA, MCA","Cat, Gate, Jee Main, Mah-B.Ed-Cet, Mah-Cet, Mah-M.Ed-Cet, Mah-Mca-Cet, Merit, Mh Cet Law, Mht-Cet",78000,706,50,1,70,1.8,230.7692308
"Government College of Engineering and Research, Avasari",Pune,Maharashtra,0,"B.Tech, M.Tech","Gate, Jee Main, Mht-Cet",78000,305,86,0,50,0.4,51.28205128
"Government College of Engineering, Amravati",Amravati,Maharashtra,0,"B.Tech, M.Tech","Gate, Jee Main, Mht-Cet",78000,288,86,1,60,3,384.6153846
"Government College of Engineering, Aurangabad",Aurangabad,Maharashtra,0,"B.E, B.Tech, BCA, M.E, M.Tech, MCA","Gate, Jee Main, Mah-Mca-Cet, Merit, Mht-Cet",78000,281,70,1,74.88,3.5,230.7692308
"Government College of Engineering, Chandrapur",Chandrapur,Maharashtra,0,"B.E, B.Tech, M.E, M.Sc, M.Tech, MCA","Gate, Jee Main, Mah-Mca-Cet, Merit, Mht-Cet",78000,264,88,0,50,0.3,38.46153846
"Government College of Engineering, Jalgaon",Jalgaon,Maharashtra,0,"B.Tech, M.Tech","Gate, Jee Main, Mht-Cet",78000,297,97,0,20,0.36,46.15384615
"Government College of Engineering, Karad",Karad,Maharashtra,0,"B.E, B.Tech, M.E, M.Tech, MCA","Gate, Jee Main, Mah-Mca-Cet, Mht-Cet",78000,288,92,0,62.5,4,512.8205128
"Government College of Engineering, Nagpur",Nagpur,Maharashtra,0,"B.E, B.Tech, M.E, M.Tech","Gate, Jee Main, Mht-Cet",78000,297,88,0,60,0.56,71.79487179
Government Medical College,Nagpur,Maharashtra,0,"B.Sc Nursing, BPT, M.Sc, MBBS, MD, MS","12Th Science, Merit, Mht-Cet, Neet Ug, Neet-Pg, Neet-Ug",72508,246,65,1,90,8,464.037123
Grant Medical College,Mumbai,Maharashtra,0,"B.Sc Nursing, MBBS, MD, MS","Neet Ug, Neet-Pg",78000,15,65,1,100,14,833.3333333
Indian Institute of Technology Bombay (IIT Bombay),Mumbai,Maharashtra,0,"B.Des, B.Sc, B.Tech, EMBA, M.Des, M.Dp, M.Sc, M.Tech, MA.Res, MBA, MPP","Adcps, Cat, Ceed, Gate, Gate-Xh, Jam, Jee Main, Merit, Uceed",550627.27,3,99.87,1,95,35,945.8170785
Institute of Chemical Technology (ICT),Mumbai,Maharashtra,0,"B.Pharm, B.Tech, M.E, M.Pharm, M.Sc, M.Tech, MBA","Gate, Gpat, Jee Main, Mah-Mba-Cet, Mht-Cet, Wet",78959.5,56,95,1,95,6,673.4006734
Jamnalal Bajaj Institute of Management Studies (JBIMS),Mumbai,Maharashtra,1,"M.Sc, MMS","Mah-Mba Cet, Merit",78000,28,89,0,75,1.8,230.7692308
K.J. Somaiya Institute of Management,Mumbai,Maharashtra,1,"MBA, MCA","Atma, Cat, Cmat, Cuet, Gmat, Mah Mba Cet, Mah-Mca-Cet, Mat, Nmat, Pera Cet, Xat",859230.77,63,45,1,97,13,130
Kavayitri Bahinabai Chaudhari North Maharashtra University,Jalgaon,Maharashtra,0,"B.Arch, B.Com, B.E, B.Ed, B.Pharm, B.Sc, B.Tech, BA, BBA, BCA, LL.B, LL.M, M.A, M.Com, M.Ed, M.Pharm, M.Sc, M.Tech, MBA, MCA","12Th Merit, Gate, Gpat, Mah B.Ed Cet, Mah M.Ed Cet, Mah Mba Cet, Mah Mca Cet, Merit, Mh Cet Law, Mht-Cet, Nata",35590.3,173,50,1,70,4.2,4761.904762
Lokmanya Tilak Municipal Medical College,Mumbai,Maharashtra,0,"BOT, BPMT, BPT, GNM, MBBS, MD, MS","12Th Science, Neet Ug, Neet-Pg",87686.43,268,80,1,80,6.5,231.3810557
Maharashtra University of Health Sciences,Nashik,Maharashtra,0,"B.Sc, BAMS, BDS, BHMS, BOT, BPT, BUMS, M.Sc, MD, MDS, MHA, MMBS, MOT, MPH, MPT, MS","Mah-Cet, Merit, Muhs Cet, Neet Mds, Neet Ug, Neet-Pg",71842.11,45,99,1,88,18,1470.588235
